checked_at,copyright,crop_count,date_submitted,file_description,file_name,image_type,imslp_id,publisher_information,reason,resolved_work_title,scanner,source_url,status,uploader,work_title,work_url
2026-08-31T10:36:56Z,Public Domain,16,2007/7/21,Complete Score,SchubertD280_Das_Rosenband.pdf,Normal Scan,IMSLP10416,{{FPSSongs|139|453|72-73|3|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/10416,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Das Rosenband, D.280 (Schubert, Franz)",https://imslp.org/wiki/Das_Rosenband%2C_D.280_%28Schubert%2C_Franz%29
2026-08-31T10:36:56Z,Public Domain,15,2007/7/22,Complete Score,SchubertD550d_Die_Forelle_4th_Version.pdf,Normal Scan,IMSLP10602,{{FPSSongs|327d|673|141-143|5|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/10602,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Die Forelle, D.550 (Schubert, Franz)",https://imslp.org/wiki/Die_Forelle%2C_D.550_%28Schubert%2C_Franz%29
2026-08-31T10:36:58Z,,3,,,,,IMSLP112763,,IMSLP work page not resolved,"1 Sérénade printanière (Holmès, Augusta Mary Anne)",,,needs_manual_review,,"1 Sérénade printanière (Holmès, Augusta Mary Anne)",
2026-08-31T10:36:59Z,Public Domain,34,,"Complete Score (Original / High voice, {{K|D}})",PMLP28787-schubert_fischerweise_high_voice_peters_9308.pdf,Normal Scan,IMSLP11784,"''[[Franz Schubert - Gesänge für eine Singstimme mit Klavierbegleitung|Gesänge für eine Singstimme mit Klavierbegleitung]], Band 2: Ausgabe für hohe Stimme''<br>''[[Franz Schubert - Gesänge für eine Singstimme mit Klavierbegleitung|Gesänge für eine Singstimme mit Klavierbegleitung]], Band 2: Ausgabe für tiefe Stimme''<br>{{P|Edition Peters||Leipzig|n.d.(ca.1905-10)||178a/c|9308, 7610}}",IMSLP exact-file record: Public Domain + Normal Scan,,,https://imslp.org/wiki/Special:ImagefromIndex/11784,candidate_pd_scan,,"Fischerweise, D.881 (Schubert, Franz)",https://imslp.org/wiki/Fischerweise%2C_D.881_%28Schubert%2C_Franz%29
2026-08-31T10:37:02Z,Public Domain,16,2011/9/13,Complete Score,SIBLEY1802.3114.db7e-39087012013746dansunemusette.pdf,Normal Scan,IMSLP122258,"{{p|J. & W. Chester, Ltd.|J. & W. Chester|London||1918||3800}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/3114}},https://imslp.org/wiki/Special:ImagefromIndex/122258,candidate_pd_scan,[[User:Icactus|Icactus]],Dans une musette (Poldowski),https://imslp.org/wiki/Dans_une_musette_%28Poldowski%29
2026-08-31T10:37:02Z,Public Domain,8,2007/8/21,Complete Score,SchubertD889_Standchen.pdf,Normal Scan,IMSLP12291,{{FPSSongs|503|864|228-29|8|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/12291,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Ständchen, D.889 (Schubert, Franz)",https://imslp.org/wiki/St%C3%A4ndchen%2C_D.889_%28Schubert%2C_Franz%29
2026-08-31T10:37:02Z,Public Domain,26,2007/8/27,Complete Score,SchubertD909_Jagers_Liebeslied.pdf,Normal Scan,IMSLP12778,{{FPSSongs|515|876|264-66|8|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/12778,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Jägers Liebeslied, D.909 (Schubert, Franz)",https://imslp.org/wiki/J%C3%A4gers_Liebeslied%2C_D.909_%28Schubert%2C_Franz%29
2026-08-31T10:37:04Z,Public Domain,58,2007/9/16,Complete Score,SchubertD118_Gretchen_Am_Spinnrade.pdf,Normal Scan,IMSLP13971,{{FPSSongs|31|337|191-96|1|1894}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/13971,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Gretchen am Spinnrade, D.118 (Schubert, Franz)",https://imslp.org/wiki/Gretchen_am_Spinnrade%2C_D.118_%28Schubert%2C_Franz%29
2026-08-31T10:37:04Z,Public Domain,38,2011/10/23,Complete Score {{Vk|high|A}},PMLP266485-CHAMINADE_-_L'ete.pdf,Normal Scan,IMSLP140920,"''Twelve Songs, No.6''<br>{{P|Joseph Williams||London||||N8192}}",IMSLP exact-file record: Public Domain + Normal Scan,,Adam Ramet,https://imslp.org/wiki/Special:ImagefromIndex/140920,candidate_pd_scan,[[User:Themodist.com|Adam Ramet]],"L'été (Chaminade, Cécile)",https://imslp.org/wiki/L%27%C3%A9t%C3%A9_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:06Z,,20,,,,,IMSLP148200,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"2 So White, so Soft, so Sweet is She (Delius, Frederick)",
2026-08-31T10:37:07Z,,2,,,,,IMSLP154059,,raw_file_block_missing,,,,needs_manual_review,,"Les rêves (Chaminade, Cécile)",
2026-08-31T10:37:07Z,Public Domain,32,2011/11/20,Complete Score {{Vk|high|A}},PMLP281492-Chaminade_AupresDeMaMie_HV.pdf,Normal Scan,IMSLP154060,"{{P2|Schirmer|G. Schirmer|New York||1893||10987, 11004}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154060,candidate_pd_scan,[[User:Morel|Morel]],"Auprès de ma mie (Chaminade, Cécile)",https://imslp.org/wiki/Aupr%C3%A8s_de_ma_mie_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:07Z,,18,,,,,IMSLP154063,,raw_file_block_missing,,,,needs_manual_review,,"Rosemonde (Chaminade, Cécile)",
2026-08-31T10:37:07Z,,34,,,,,IMSLP154067,,raw_file_block_missing,,,,needs_manual_review,,"Plaintes d’amour (Chaminade, Cécile)",
2026-08-31T10:37:07Z,Public Domain,20,2011/11/20,Complete Score {{Vk|high|Eb}},PMLP281507-Chaminade_LAmourCaptif_HV.pdf,Normal Scan,IMSLP154070,"{{P2|Schirmer|G. Schirmer|New York||1895||11334, 11335}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154070,candidate_pd_scan,[[User:Morel|Morel]],"L'amour captif (Chaminade, Cécile)",https://imslp.org/wiki/L%27amour_captif_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:09Z,,8,,,,,IMSLP154084,,IMSLP work page not resolved,"Chanson groënlandaise (Chaminade, Cécile)",,,needs_manual_review,,"Chanson groënlandaise (Chaminade, Cécile)",
2026-08-31T10:37:09Z,Public Domain,25,2011/11/20,Complete Score {{Vk|high|c}},PMLP281534-Chaminade_BalladeALaLune_HV.pdf,,IMSLP154086,{{P2|Schirmer|G. Schirmer|New York|n.d.(1894?)|1894||12980{{EN}}81}},not an original Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154086,exclude,[[User:Morel|Morel]],"Ballade à la lune (Chaminade, Cécile)",https://imslp.org/wiki/Ballade_%C3%A0_la_lune_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:09Z,Public Domain,18,2011/11/20,Complete Score {{Vk|high|G}},PMLP281562-Chaminade_Aubade_HV.pdf,Normal Scan,IMSLP154110,"{{P2|Schirmer|G. Schirmer|New York||||12990, 12991}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154110,candidate_pd_scan,[[User:Morel|Morel]],"Aubade (Chaminade, Cécile)",https://imslp.org/wiki/Aubade_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:09Z,Public Domain,16,2011/11/20,Complete Score {{Vk|high|Eb}},PMLP281589-Chaminade_Amoroso_HV.pdf,Normal Scan,IMSLP154140,"{{P2|Schirmer|G. Schirmer|New York||1893||10995, 11012}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154140,candidate_pd_scan,[[User:Morel|Morel]],"Amoroso (Chaminade, Cécile)",https://imslp.org/wiki/Amoroso_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:09Z,Public Domain,2,2011/11/20,Complete Score {{Vk|high|F}},PMLP281592-Chaminade_AmourDAutomne_HV.pdf,Normal Scan,IMSLP154142,"{{P2|Schirmer|G. Schirmer|New York||1893||10990, 11007}}",IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154142,candidate_pd_scan,[[User:Morel|Morel]],"Amour d'automne (Chaminade, Cécile)",https://imslp.org/wiki/Amour_d%27automne_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:11Z,Public Domain,8,2011/11/20,Complete Score {{Vk|high|Eb}},PMLP281595-Chaminade_Berceuse_HV.pdf,Normal Scan,IMSLP154144,{{P2|Schirmer|G. Schirmer|New York||1894||11726-27}},IMSLP exact-file record: Public Domain + Normal Scan,,{{SibleyScan|1802/17411}},https://imslp.org/wiki/Special:ImagefromIndex/154144,candidate_pd_scan,[[User:Morel|Morel]],"Berceuse (Chaminade, Cécile)",https://imslp.org/wiki/Berceuse_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:11Z,,30,,,,,IMSLP154201,,raw_file_block_missing,,,,needs_manual_review,,"Colette (Chaminade, Cécile)",
2026-08-31T10:37:11Z,,12,,,,,IMSLP154211,,raw_file_block_missing,,,,needs_manual_review,,"La fiancée du soldat (Chaminade, Cécile)",
2026-08-31T10:37:11Z,,22,,,,,IMSLP154220,,raw_file_block_missing,,,,needs_manual_review,,"Rêve d’un soir (Chaminade, Cécile)",
2026-08-31T10:37:12Z,Public Domain,14,2011/2/27,Complete Score,PMLP194372-Chaminade_-_083_-_Ritournelle_!.pdf,,IMSLP154223,{{P|Enoch||Paris||1896||E. & C. 2795}},not an original Normal Scan,,Caprotti,https://imslp.org/wiki/Special:ImagefromIndex/154223,exclude,[[User:Caprotti|Caprotti]],"Ritournelle, Op.83 (Chaminade, Cécile)",https://imslp.org/wiki/Ritournelle%2C_Op.83_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:14Z,,8,,,,,IMSLP154229,,raw_file_block_missing,,,,needs_manual_review,,"Sur la plage (Chaminade, Cécile)",
2026-08-31T10:37:14Z,Public Domain,16,2011/11/21,Complete Score {{Vk|low|G}},PMLP281741-Chaminade_Melodies_4eme_volume_01_LAlleeDEmeraudeEtDOr.pdf,,IMSLP154240,"''Mélodies, Recueil 4'', No.1 (pp.1-4)<br>{{P|Enoch|Enoch & Cie.|Paris||1900||}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154240,exclude,[[User:Morel|Morel]],"L'allée d'émeraude et d'or (Chaminade, Cécile)",https://imslp.org/wiki/L%27all%C3%A9e_d%27%C3%A9meraude_et_d%27or_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:15Z,Public Domain,30,2011/11/21,Complete Score {{Vk|low|C}},PMLP281745-Chaminade_Melodies_4eme_volume_02_Alleluia.pdf,,IMSLP154241,"''Mélodies, Recueil 4'', No.2 (pp.5-8)<br>{{P|Enoch|Enoch & Cie.|Paris||1901||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154241,exclude,[[User:Morel|Morel]],"Alleluia (Chaminade, Cécile)",https://imslp.org/wiki/Alleluia_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:15Z,Public Domain,10,2011/11/21,Complete Score {{Vk|low|C}},PMLP281748-Chaminade_Melodies_4eme_volume_03_AvrilSEveille.pdf,,IMSLP154242,"''Mélodies, Recueil 4'', No.3 (pp.9-12)<br>{{P|Enoch|Enoch & Cie.|Paris||1896||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154242,exclude,[[User:Morel|Morel]],"Avril s'éveille (Chaminade, Cécile)",https://imslp.org/wiki/Avril_s%27%C3%A9veille_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,27,2011/11/21,Complete Score {{Vk|low|d}},PMLP281753-Chaminade_Melodies_4eme_volume_05_ChansonDeNeige.pdf,,IMSLP154245,"''Mélodies, Recueil 4'', No.5 (pp.17-20)<br>{{P|Enoch|Enoch & Cie.|Paris||1906||E. & C}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154245,exclude,[[User:Morel|Morel]],"Chanson de neige (Chaminade, Cécile)",https://imslp.org/wiki/Chanson_de_neige_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,24,2011/11/21,"Complete score (low voice, {{K|Eb}})",PMLP281824-Chaminade_Melodies_2eme_volume_09-ChansonEspagnole.pdf,,IMSLP154289,"{{LinkWorkN|Mélodies, Recueil 2||Chaminade|Cécile|0}}, No.9 (pp.36-40)<br>{{P|Enoch|Enoch & Cie.|Paris||1895||E. & C. 3163}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154289,exclude,[[User:Morel|Morel]],"Chanson espagnole (Chaminade, Cécile)",https://imslp.org/wiki/Chanson_espagnole_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,30,2011/11/21,Complete Score {{Vk|low|e}},PMLP281843-Chaminade_Melodies_3eme_volume_01_Amertume.pdf,,IMSLP154299,"{{LinkWork|Mélodies, Recueil 3||Chaminade|Cécile|0}}, No.1 (pp.1-5)<br>{{P|Enoch|Enoch & Cie.|Paris||1898||E. & C. 4098}}",not an original Normal Scan,,Morel,https://imslp.org/wiki/Special:ImagefromIndex/154299,exclude,[[User:Morel|Morel]],"Amertume (Chaminade, Cécile)",https://imslp.org/wiki/Amertume_%28Chaminade%2C_C%C3%A9cile%29
2026-08-31T10:37:16Z,Public Domain,6,2008/1/27,Complete Score,SchubertD651 Himmelsfunken.pdf,Normal Scan,IMSLP16259,{{FPSSongs|353|700|14-15|6|1895}},IMSLP exact-file record: Public Domain + Normal Scan,,uploader,https://imslp.org/wiki/Special:ImagefromIndex/16259,candidate_pd_scan,[[User:Aldona|Aldona Jones]],"Himmelsfunken, D.651 (Schubert, Franz)",https://imslp.org/wiki/Himmelsfunken%2C_D.651_%28Schubert%2C_Franz%29
2026-08-31T10:37:16Z,,12,,,,,IMSLP16349,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"1 Du liebst mich nicht (Schubert, Franz)",
2026-08-31T10:37:18Z,,8,,,,,IMSLP16364,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"3 Wandrers Nachtlied, D.768 (Schubert, Franz)",
2026-08-31T10:37:20Z,,24,,,,,IMSLP16369,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"1 Der Zwerg, D.771 (Schubert, Franz)",
2026-08-31T10:37:22Z,,5,,,,,IMSLP16400,,IMSLP work page not resolved,"6 Ellens Gesang III, D.839 (Ave Maria) (Schubert, Franz)",,,needs_manual_review,,"6 Ellens Gesang III, D.839 (Ave Maria) (Schubert, Franz)",
2026-08-31T10:37:24Z,,5,,,,,IMSLP16625,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"3 Bootgesang, D.835 (Schubert, Franz)",
2026-08-31T10:37:25Z,,22,,,,,IMSLP16883,,file_id_not_rendered_on_work_page,,,,needs_manual_review,,"Je te veux (Satie, Erik)",
